position,coverage_ACGT,error_rate_two_least_ACGT
1,3125,0.00608
2,3192,0.002819549
3,3215,0.000933126
4,3242,0.006169031
5,3216,0.001865672
6,3234,0.000309215
7,3238,0.002161828
8,3234,0.00401979
9,3237,0.009267841
10,3209,0.012153319
11,3077,0.006499838
12,3237,0.002471424
13,3176,0.000944584
14,3132,0.001277139
15,3249,0.00307787
16,3236,0.003708282
17,3207,0.008730901
18,3090,0.004530744
19,3214,0.002177971
20,3223,0.018305926
21,3160,0.008227848
22,3183,0.003770028
23,3211,0.000934288
24,3220,0.002484472
25,3155,0.004754358
26,3160,0.002531646
27,3218,0.003729024
28,3204,0.003745318
29,3183,0.006597549
30,3176,0.00440806
31,3211,0.000311429
32,3223,0.00124108
33,3225,0.002170543
34,3195,0.013771518
35,3195,0.012832551
36,3202,0.00780762
37,3188,0.006273526
38,3225,0.013643411
39,3077,0.019174521
40,3208,0.005922693
41,3184,0.010364322
42,3028,0.007595773
43,3251,0.003691172
44,3192,0.00783208
45,3206,0.004054897
46,3209,0.003427859
47,3184,0.001570352
48,3247,0.00184786
49,3230,0.001857585
50,3248,0.002463054
51,3244,0.002466091
52,3224,0.007754342
53,3252,0.004305043
54,3248,0.003078818
55,3211,0.001557147
56,3248,0.0033867
57,3235,0.00618238
58,3225,0.00620155
59,3173,0.005357706
60,3239,0.001234949
61,3078,0.006497726
62,3098,0.000968367
63,3150,0.004444444
64,3109,0.002894821
65,3243,0.001233426
66,3199,0.001875586
67,3223,0.002482159
68,3222,0.000620732
69,3198,0.010631645
70,3081,0.006166829
71,3211,0.002802865
72,3180,0.002830189
73,3249,0.000923361
74,3207,0.000935454
75,3226,0.000929944
76,3248,0.000307882
77,3239,0.000308737
78,3237,0.001235712
79,3240,0.000925926
80,3224,0.002791563
81,3239,0.001543686
82,3245,0.002465331
83,3248,0.007389163
84,3224,0.012406948
85,3165,0.012006319
86,3186,0.004080352
87,3233,0.00030931
88,3239,0.000617475
89,3210,0.001246106
90,3254,0.001843884
91,3215,0.003421462
92,3213,0.00280112
93,3228,0.006195787
94,3201,0.002499219
95,3221,0.00124185
96,3252,0.000615006
97,3239,0.000926212
98,3194,0.000313087
99,3239,0.002161161
100,3237,0.005869632
101,3231,0.004952027
102,3201,0.003436426
103,3232,0.000309406
104,3238,0.002470661
105,3241,0.002776921
106,3222,0.005276226
107,3192,0.001566416
108,3250,0.007076923
109,3240,0.007098765
110,3215,0.004043546
111,2949,0.003051882
112,3218,0.00155376
113,3242,0.000616903
114,3233,0.001546551
115,3228,0.000929368
116,3248,0
117,3251,0.007689942
118,3240,0.002469136
119,3221,0.000931388
120,3231,0.001238007
121,3246,0.003696858
122,3187,0.007844368
123,3214,0.006222775
124,3232,0.001237624
125,3182,0.00565682
126,3247,0.009855251
127,3193,0.005950517
128,3228,0.00464684
129,3236,0.001236094
130,3193,0.015659255
131,3198,0.008755472
132,3039,0.009213557
133,3241,0.006170935
134,3215,0.004354588
135,2942,0.001699524
136,3167,0.001263025
137,3245,0.001232666
138,3227,0.001239541
139,3091,0.001617599
140,3247,0.00092393
141,3222,0.001862197
142,3231,0.001547509
143,3197,0.000625586
144,3200,0.005625
145,3165,0.00821485
146,3234,0.002473717
147,3234,0.004638219
148,3233,0.00061862
149,3227,0
150,3245,0.001540832
151,3242,0.003392967
152,3244,0.008014797
153,3237,0.000926784
154,3248,0.004310345
155,3235,0.004018547
156,3211,0.003114295
157,3243,0.001850139
158,3241,0.003702561
159,3242,0.000616903
160,3229,0.000619387
161,3250,0.001230769
162,3247,0.000307977
163,3224,0.003101737
164,3239,0.01018833
165,3222,0.015828678
166,3187,0.014433637
167,3253,0.004611128
168,3253,0.000922226
169,3224,0.000620347
170,3251,0.001230391
171,3254,0.003073141
172,3253,0
173,3251,0.000307598
174,3216,0.000932836
175,3246,0.000616143
176,3236,0.004017305
177,3240,0.000308642
178,3253,0.000307409
179,3244,0.000308261
180,3230,0.00123839
181,3226,0.001859888
182,3219,0.004038521
183,3239,0.001234949
184,3227,0.002169197
185,3212,0.001867995
186,3213,0.00280112
187,3203,0.002497658
188,3232,0.010210396
189,3230,0.010526316
190,3233,0.031549644
191,3214,0.023335408
192,3186,0.021029504
193,3144,0.014312977
194,3227,0.005268051
195,3205,0.012480499
196,3204,0.010611735
197,3243,0.00431699
198,3216,0.001865672
199,3236,0.002472188
200,3240,0.001851852
201,3233,0.003093102
202,3233,0.001237241
203,3241,0.000308547
204,3245,0.001848998
205,3241,0.002159827
206,3242,0.000925355
207,3245,0.007087827
208,3216,0.012437811
209,3233,0.008042066
210,3222,0.01396648
211,3242,0.007402838
212,3232,0.003712871
213,3219,0.003106555
214,3240,0.004320988
215,3240,0.004938272
216,3237,0.008958913
217,3194,0.011897307
218,3226,0.009919405
219,3226,0.007439554
220,3233,0.005258274
221,3246,0.001848429
222,3231,0.003404519
223,3239,0.005866008
224,3232,0.003094059
225,3235,0.008037094
226,3234,0.002473717
227,3242,0.003392967
228,3240,0.005246914
229,3243,0.002775208
230,3234,0.004638219
231,3241,0.006479482
232,3239,0.003704847
233,3225,0.009302326
234,3245,0.004006163
235,3252,0.001537515
236,3244,0.001849568
237,3244,0.004623921
238,3245,0.004006163
239,3250,0.000615385
240,3243,0.002158495
241,3245,0.003081664
242,3222,0.001862197
243,3250,0.002153846
244,3227,0.004958165
245,3243,0.001233426
246,3244,0.000924784
247,3243,0.000925069
248,3241,0.002776921
249,3246,0.001848429
250,3243,0.016342892
251,3244,0.002774353
252,3241,0.004628201
253,3238,0.004941322
254,3240,0.006481481
255,3233,0.01299103
256,3244,0.002466091
257,3233,0.002783792
258,3231,0.006499536
259,3240,0.009567901
260,3237,0.003398208
261,3231,0.012070566
262,3225,0.011472868
263,3242,0.011412708
264,3221,0.01676498
265,3220,0.012732919
266,3215,0.006531882
267,3246,0.001848429
268,3234,0.001236858
269,3248,0.004002463
270,3245,0.003081664
271,3237,0.010194625
272,3234,0.00401979
273,3243,0.004008634
274,3243,0.001233426
275,3241,0.006170935
276,3233,0.009279307
277,3226,0.006819591
278,3237,0.001235712
279,3238,0.00123533
280,3231,0.005261529
281,3236,0.000618047
282,3246,0.002464572
283,3242,0.00400987
284,3239,0.004322322
285,3246,0.004313001
286,3246,0.001232286
287,3246,0.000616143
288,3250,0.000923077
289,3253,0
290,3246,0.002464572
291,3240,0.004938272
292,3240,0.00462963
293,3224,0.00837469
294,3240,0.001851852
295,3227,0.001549427
296,3242,0.002776064
297,3224,0.000620347
298,3243,0.000308356
299,3241,0.003394014
300,3245,0.003389831
301,3237,0.008032129
302,3224,0.007754342
303,3210,0.006853583
304,3237,0.004942848
305,3237,0.002780352
306,3236,0.00710754
